,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.7168643403053284,0.7172126770019531,0.7175575375556946,0.717,0.0,0.717,0.718,0.0,0.0,1008.0,919.0,
flux_g,1603.4497412109374,1605.6276245117188,1607.8089013671874,1605.619,2.107,1601.88,1609.622,0.066,0.047,1033.0,815.0,
flux_r,2649.46322265625,2653.6136474609375,2657.630927734375,2653.583,4.048,2645.978,2661.006,0.132,0.082,934.0,945.0,
flux_z,3706.67888671875,3712.8997802734375,3718.7598046875,3712.836,5.838,3701.684,3723.035,0.178,0.118,1081.0,823.0,
n,0.8151869916915894,0.8170394599437714,0.818931188583374,0.817,0.002,0.814,0.82,0.0,0.0,1022.0,952.0,
r_eff,77.29751129150391,77.50484466552734,77.72374633789063,77.507,0.22,77.107,77.936,0.007,0.005,997.0,942.0,
sky_back_g,-0.00027429252862930297,-5.757436156272888e-05,0.00014607042074203487,-0.0,0.0,-0.0,0.0,0.0,0.0,853.0,975.0,
sky_back_r,-0.0003629741072654724,-2.0325183868408203e-05,0.00037224143743515016,-0.0,0.0,-0.001,0.001,0.0,0.0,981.0,881.0,
sky_back_z,0.00024437159299850464,0.000591568648815155,0.0009405481815338134,0.001,0.0,-0.0,0.001,0.0,0.0,969.0,975.0,
theta,2.6286919116973877,2.6289684772491455,2.6292513179779053,2.629,0.0,2.628,2.629,0.0,0.0,981.0,1026.0,
xc,202.52953369140624,202.54945373535156,202.56918029785157,202.549,0.019,202.515,202.586,0.001,0.0,837.0,937.0,
yc,211.07752075195313,211.10607147216797,211.13797912597656,211.108,0.031,211.052,211.168,0.001,0.001,902.0,723.0,
