,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.5087705874443054,0.509819746017456,0.5108088302612305,0.51,0.001,0.508,0.512,0.0,0.0,1015.0,881.0,
flux_g,507.70048461914064,508.459716796875,509.1955932617187,508.45,0.744,507.028,509.746,0.023,0.016,1047.0,847.0,
flux_r,879.7364575195312,881.8252258300781,883.9603466796875,881.835,2.034,878.327,885.693,0.065,0.045,986.0,877.0,
flux_z,1254.6850244140626,1257.9317626953125,1261.3796240234376,1258.052,3.303,1251.714,1263.935,0.105,0.07,1000.0,830.0,
n,1.1426056671142577,1.1453232169151306,1.1480135059356689,1.145,0.003,1.14,1.15,0.0,0.0,1022.0,952.0,
r_eff,67.53537109375,67.65447998046875,67.78195190429688,67.656,0.127,67.404,67.887,0.004,0.003,986.0,905.0,
sky_back_g,-0.00040536344051361083,-0.0002137310802936554,-3.845155239105226e-05,-0.0,0.0,-0.001,0.0,0.0,0.0,829.0,924.0,
sky_back_r,-0.0006717336177825928,-0.0003624260425567627,-1.5449523925781276e-05,-0.0,0.0,-0.001,0.0,0.0,0.0,966.0,880.0,
sky_back_z,-0.0007796779274940491,-0.00046121329069137573,-0.00015448540449142456,-0.0,0.0,-0.001,0.0,0.0,0.0,1011.0,954.0,
theta,0.8370088005065918,0.8380756378173828,0.839067211151123,0.838,0.001,0.836,0.84,0.0,0.0,1017.0,1060.0,
xc,154.00873718261718,154.04105377197266,154.07647583007812,154.042,0.032,153.979,154.1,0.001,0.001,881.0,911.0,
yc,149.05871337890625,149.0880889892578,149.12118530273438,149.089,0.03,149.03,149.143,0.001,0.001,981.0,830.0,
