,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.27886575341224673,0.28072069585323334,0.2825359690189362,0.281,0.002,0.278,0.284,0.0,0.0,1016.0,867.0,
flux_g,1070.8348486328125,1072.1852416992188,1073.5791259765624,1072.179,1.361,1069.588,1074.532,0.043,0.029,1010.0,904.0,
flux_r,1543.18775390625,1547.9248657226562,1552.8373291015625,1547.97,4.794,1539.023,1556.55,0.154,0.103,966.0,791.0,
flux_z,1934.925244140625,1942.4996337890625,1950.0914501953125,1942.502,7.5,1928.387,1955.952,0.244,0.158,947.0,1026.0,
n,0.9969812774658203,0.9995344281196594,1.0021562099456787,1.0,0.003,0.995,1.004,0.0,0.0,1022.0,952.0,
r_eff,115.59036102294922,115.9613265991211,116.30235321044921,115.952,0.363,115.24,116.596,0.012,0.008,941.0,945.0,
sky_back_g,-0.00022079288959503174,-8.979439735412598e-05,3.659099340438839e-05,-0.0,0.0,-0.0,0.0,0.0,0.0,875.0,871.0,
sky_back_r,-0.000371248722076416,-0.00017046183347702026,6.777316331863402e-05,-0.0,0.0,-0.001,0.0,0.0,0.0,924.0,952.0,
sky_back_z,-0.0002517786622047424,-4.83877956867218e-05,0.00015520036220550534,-0.0,0.0,-0.0,0.0,0.0,0.0,1018.0,952.0,
theta,0.023593196868896483,0.026247739791870117,0.028895263671875,0.026,0.003,0.022,0.031,0.0,0.0,1020.0,919.0,
xc,224.4826525878906,224.53961181640625,224.59956604003906,224.54,0.057,224.443,224.654,0.002,0.001,894.0,909.0,
yc,268.116923828125,268.267822265625,268.431474609375,268.272,0.154,267.998,268.55,0.005,0.003,905.0,934.0,
