,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.4241367828845978,0.42624060809612274,0.42839671730995177,0.426,0.002,0.423,0.43,0.0,0.0,1017.0,900.0,
flux_g,203.69821899414063,204.11033630371094,204.48793823242187,204.095,0.389,203.346,204.78,0.012,0.008,1000.0,973.0,
flux_r,363.52358154296877,364.7589416503906,366.14415771484374,364.822,1.259,362.592,367.136,0.041,0.029,969.0,845.0,
flux_z,514.0963525390625,515.9159240722656,517.753154296875,515.929,1.78,512.86,519.215,0.056,0.04,1024.0,919.0,
n,1.3482277393341064,1.3542180061340332,1.360049328804016,1.354,0.006,1.344,1.364,0.0,0.0,1022.0,952.0,
r_eff,50.594428863525394,50.72536849975586,50.85590866088867,50.723,0.136,50.434,50.95,0.004,0.003,1000.0,873.0,
sky_back_g,-0.00010345458984374999,0.00015703216195106506,0.0003983360528945922,0.0,0.0,-0.0,0.001,0.0,0.0,881.0,988.0,
sky_back_r,-0.00013106197118759155,0.000266004353761673,0.0007098537683486938,0.0,0.0,-0.001,0.001,0.0,0.0,972.0,850.0,
sky_back_z,0.0001183229684829712,0.00045873597264289856,0.0008298859000205993,0.0,0.0,-0.0,0.001,0.0,0.0,1010.0,1071.0,
theta,2.661243410110474,2.663958787918091,2.6664300632476805,2.664,0.002,2.659,2.668,0.0,0.0,996.0,1025.0,
xc,125.1165380859375,125.14908981323242,125.18487396240235,125.15,0.034,125.085,125.211,0.001,0.001,896.0,981.0,
yc,126.31266143798828,126.35480117797852,126.39826324462891,126.356,0.044,126.272,126.436,0.001,0.001,901.0,819.0,
