,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.3872503709793091,0.38888534903526306,0.3906126320362091,0.389,0.002,0.386,0.392,0.0,0.0,1013.0,881.0,
flux_g,1353.3343798828125,1355.8524780273438,1358.7727099609374,1355.989,2.738,1351.314,1361.322,0.086,0.061,1000.0,1072.0,
flux_r,1892.096142578125,1898.8416137695312,1905.88208984375,1898.899,6.805,1886.561,1911.501,0.222,0.155,951.0,909.0,
flux_z,2316.37083984375,2324.151611328125,2332.29734375,2324.272,7.971,2310.019,2340.073,0.257,0.169,964.0,904.0,
n,0.7218987178802491,0.7234694361686707,0.7249669981002808,0.723,0.001,0.721,0.726,0.0,0.0,1022.0,952.0,
r_eff,73.04478912353515,73.28163528442383,73.50599822998046,73.28,0.233,72.815,73.708,0.007,0.005,986.0,901.0,
sky_back_g,-0.0002345675230026245,5.832687020301819e-05,0.0003597497940063476,0.0,0.0,-0.001,0.001,0.0,0.0,911.0,912.0,
sky_back_r,-0.0001403510570526123,0.00028227269649505615,0.000778025984764099,0.0,0.0,-0.0,0.001,0.0,0.0,974.0,1027.0,
sky_back_z,-5.0045847892761223e-05,0.00035531073808670044,0.0007585924863815306,0.0,0.0,-0.0,0.001,0.0,0.0,1003.0,1058.0,
theta,1.805616855621338,1.8066649436950684,1.8077046012878417,1.807,0.001,1.805,1.808,0.0,0.0,1033.0,983.0,
xc,212.15142700195312,212.20545959472656,212.2580615234375,212.204,0.052,212.104,212.295,0.002,0.001,618.0,837.0,
yc,205.7130615234375,205.74271392822266,205.77191650390625,205.742,0.029,205.692,205.801,0.001,0.001,961.0,886.0,
