,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.40055411219596865,0.40221258997917175,0.4038961684703827,0.402,0.002,0.4,0.406,0.0,0.0,1015.0,874.0,
flux_g,6717.028828125,6736.195556640625,6758.57408203125,6737.904,20.939,6700.857,6778.253,0.654,0.472,1025.0,944.0,
flux_r,10542.67953125,10575.3642578125,10608.7019921875,10576.032,32.824,10515.782,10637.819,1.042,0.707,990.0,793.0,
flux_z,14532.11171875,14592.796875,14657.331015625,14595.18,61.636,14488.271,14714.013,1.941,1.298,1006.0,977.0,
n,1.2557524299621583,1.2605596780776978,1.2654620933532714,1.261,0.005,1.252,1.269,0.0,0.0,1022.0,952.0,
r_eff,109.40097717285157,110.10736465454102,110.78728881835937,110.095,0.702,108.66,111.301,0.022,0.016,993.0,975.0,
sky_back_g,0.0008882638812065124,0.0010868757963180542,0.001289306879043579,0.001,0.0,0.001,0.001,0.0,0.0,882.0,981.0,
sky_back_r,0.002463760077953339,0.002776406705379486,0.0031132560968399046,0.003,0.0,0.002,0.003,0.0,0.0,1043.0,850.0,
sky_back_z,0.004853922426700592,0.005202244967222214,0.005587428212165833,0.005,0.0,0.005,0.006,0.0,0.0,893.0,903.0,
theta,0.4592178916931152,0.4595944881439209,0.45994272232055666,0.46,0.0,0.459,0.46,0.0,0.0,955.0,842.0,
xc,329.04504028320315,329.0849304199219,329.1248413085938,329.085,0.04,329.005,329.157,0.001,0.001,1003.0,786.0,
yc,304.85831787109373,304.8904724121094,304.92624755859373,304.892,0.034,304.836,304.957,0.001,0.001,1002.0,892.0,
