,16th,median,84th,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ellip,0.1837550348043442,0.1857822835445404,0.18808372855186462,0.186,0.002,0.182,0.19,0.0,0.0,1021.0,856.0,
flux_g,342.23889526367185,344.19874572753906,346.3606921386719,344.294,2.145,340.583,348.607,0.068,0.051,996.0,797.0,
flux_r,495.3507373046875,498.99029541015625,502.99406005859373,499.176,3.831,492.372,506.504,0.119,0.09,1051.0,992.0,
flux_z,344.1171301269531,346.8280944824219,349.7189208984375,346.884,2.646,342.445,351.886,0.084,0.06,989.0,883.0,
n,0.8016197419166565,0.8047166466712952,0.807856068611145,0.805,0.003,0.799,0.81,0.0,0.0,1022.0,952.0,
r_eff,55.823782958984374,56.14400100708008,56.44362915039063,56.147,0.321,55.556,56.788,0.01,0.008,980.0,944.0,
sky_back_g,0.0006297272443771362,0.0008669383823871613,0.0011140018701553344,0.001,0.0,0.0,0.001,0.0,0.0,921.0,944.0,
sky_back_r,0.000985313355922699,0.0013407766819000244,0.0017131561040878295,0.001,0.0,0.001,0.002,0.0,0.0,966.0,855.0,
sky_back_z,-0.0017490553855895995,-0.0013209842145442963,-0.0008890852332115173,-0.001,0.0,-0.002,-0.0,0.0,0.0,941.0,953.0,
theta,0.5183890724182129,0.5241050720214844,0.529321460723877,0.524,0.005,0.514,0.534,0.0,0.0,1015.0,930.0,
xc,173.25880310058594,173.31687927246094,173.37998657226564,173.318,0.058,173.213,173.427,0.002,0.001,839.0,943.0,
yc,172.66263854980468,172.72212982177734,172.7861767578125,172.725,0.06,172.629,172.844,0.002,0.001,973.0,915.0,
